module,design,outcome,method,scale,slope,slope_low,slope_high,n_points
parity,parity_holds,continuous,calibrated,error,-0.46123506422513133,-0.1800181549557456,0.5311719109428046,4
parity,parity_fails,continuous,calibrated,error,-0.6706670859485123,-0.2253719243876496,0.42912439578960093,4
