module,design,outcome,method,scale,slope,slope_low,slope_high,n_points
parity_det,parity_holds,continuous,calibrated,error,-5.612377415447811,-8.857074260260951,-4.3064977051778275,4
parity_det,parity_fails,continuous,calibrated,error,-5.464327101637726,-1.4320478279925148,-0.43963604983542515,4
