method,p,scale,k,slope,slope_se
calibrated,0.5,sqrt,5,-6.568906166855007,4.043446142714363
cornish_fisher,0.5,sqrt,5,-1.0815844561817707,0.4902105889092307
gaussian,0.5,sqrt,5,-1.0571044048699083,0.47611502943376893
calibrated,0.5,linear,5,-6.068906166855011,4.043446142714362
cornish_fisher,0.5,linear,5,-0.581584456181769,0.4902105889092307
gaussian,0.5,linear,5,-0.5571044048699085,0.47611502943376893
