p,method,coverage,coverage_error,mcse,gamma_mean
0.73,cornish_fisher,0.9210333333333334,0.028966666666666585,0.0015570370603834086,0.3697811301963626
0.73,calibrated,0.9536,0.0036000000000000476,0.0012144551590459538,0.3697811301963626
0.755,gaussian,0.9318333333333333,0.018166666666666664,0.0014551056344497498,0.34605024786798405
0.755,cornish_fisher,0.917,0.03299999999999992,0.0015928067470140036,0.34605024786798405
0.755,calibrated,0.9507,0.0007000000000000339,0.0012499267978565787,0.34605024786798405
0.78,gaussian,0.9259666666666667,0.02403333333333324,0.0015116480949490068,0.47837027174346824
0.78,cornish_fisher,0.9037,0.04630000000000001,0.0017031961131942503,0.47837027174346824
0.78,calibrated,0.9485,0.0014999999999999458,0.0012760322618701038,0.47837027174346824
0.805,gaussian,0.9204666666666667,0.0295333333333333,0.0015621329672622006,0.4741159806566709
0.805,cornish_fisher,0.8999,0.05009999999999992,0.0017328203407547282,0.4741159806566709
0.805,calibrated,0.9476,0.0023999999999999577,0.0012865229626140894,0.4741159806566709
0.83,gaussian,0.9076,0.04239999999999999,0.0016719473675926527,0.5468276989775218
0.83,cornish_fisher,0.8764333333333333,0.07356666666666667,0.001899981978472038,0.5468276989775218
0.83,calibrated,0.9533666666666667,0.00336666666666674,0.0012173559539093394,0.5468276989775218
0.85,gaussian,0.9037333333333334,0.04626666666666657,0.0017029327208823754,0.5455314688527089
0.85,cornish_fisher,0.874,0.07599999999999996,0.0019159331929897764,0.5455314688527089
0.85,calibrated,0.9517666666666666,0.0017666666666666941,0.0012370243717470958,0.5455314688527089
0.875,gaussian,0.8895666666666666,0.06043333333333334,0.001809583858443908,0.6559079097505356
0.875,cornish_fisher,0.8511666666666666,0.09883333333333333,0.0020549288083550263,0.6559079097505356
0.875,calibrated,0.9533,0.0033000000000000806,0.0012181832100851384,0.6559079097505356
0.9,gaussian,0.8611333333333333,0.08886666666666665,0.0019965196013359146,0.7049411829713351
0.9,cornish_fisher,0.814,0.136,0.002246508401942891,0.7049411829713351
0.9,calibrated,0.9522,0.0022000000000000908,0.0012317353611876207,0.7049411829713351
