p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.9,gaussian,0.9091291666666667,0.0408708333333333,0.0004148627408117425,0.6698057576941878,840,1.1845492875281007,34.33149999999997
0.9,cornish_fisher,0.8744229166666667,0.07557708333333324,0.00047829445139915805,0.6698057576941878,840,2.1904319759229733,63.48474999999992
0.9,calibrated,0.95019375,0.00019374999999999254,0.00031399836604185255,0.6698057576941878,840,0.005615408489148191,0.16274999999999373
0.9,gaussian,0.9114520833333334,0.03854791666666657,0.0004100487347068732,0.6747278984693033,900,1.1564374999999971,34.69312499999992
0.9,cornish_fisher,0.8764729166666667,0.07352708333333324,0.0004749301330557585,0.6747278984693033,900,2.2058124999999973,66.17437499999991
0.9,calibrated,0.95065625,0.0006562500000000249,0.0003126131273099972,0.6747278984693033,900,0.019687500000000746,0.5906250000000224
0.9,gaussian,0.9115458333333334,0.03845416666666657,0.0004098526845759446,0.6850603221916748,930,1.1726944736997043,35.762374999999906
0.9,cornish_fisher,0.87645625,0.07354374999999991,0.00047495765564753564,0.6850603221916748,930,2.2427829459352755,68.39568749999991
0.9,calibrated,0.9514854166666666,0.0014854166666666835,0.0003101105936373292,0.6850603221916748,930,0.04529912015104024,1.3814375000000156
0.9,gaussian,0.9124270833333333,0.03757291666666662,0.0004080030150347128,0.6810600459547081,960,1.1641542441475115,36.06999999999996
0.9,cornish_fisher,0.8777604166666667,0.07223958333333325,0.0004727954711073682,0.6810600459547081,960,2.2382616254957,69.34999999999991
0.9,calibrated,0.9508895833333333,0.0008895833333333325,0.0003119113911350101,0.6810600459547081,960,0.027562731480509424,0.8539999999999992
