p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.5,gaussian,0.95501,0.00501000000000007,0.00046349703289233675,0.0029023097526573597,600,0.12271943611343894,3.006000000000042
0.5,cornish_fisher,0.954725,0.00472500000000009,0.00046489339839903064,0.0029023097526573597,600,0.11573839034650737,2.835000000000054
0.5,calibrated,0.949555,0.0004449999999999177,0.0004893889147447047,0.0029023097526573597,600,0.010900229355383127,0.2669999999999506
0.9,gaussian,0.903315,0.046684999999999977,0.0006608214992530132,0.706178340948423,600,1.143544286418326,28.010999999999985
0.9,cornish_fisher,0.864105,0.08589499999999994,0.0007662491402115894,0.706178340948423,600,2.1039892145636094,51.53699999999996
0.9,calibrated,0.95111,0.0011100000000000554,0.0004821813346657043,0.706178340948423,600,0.027189336144894632,0.6660000000000332
0.5,gaussian,0.95216,0.0021600000000000508,0.00047723859022505714,-0.003561946346669611,660,0.05549140473983466,1.4256000000000335
0.5,cornish_fisher,0.95201,0.0020100000000000673,0.0004779485322709966,-0.003561946346669611,660,0.05163783496623555,1.3266000000000444
0.5,calibrated,0.95157,0.0015700000000000713,0.0004800236197313627,-0.003561946346669611,660,0.04033403029701034,1.036200000000047
0.9,gaussian,0.906555,0.043444999999999956,0.0006508188379841199,0.6949682481384059,660,1.116122258760212,28.67369999999997
0.9,cornish_fisher,0.870165,0.07983499999999999,0.0007515912212599347,0.6949682481384059,660,2.050998285835461,52.69109999999999
0.9,calibrated,0.949795,0.00020500000000001073,0.0004882850498172151,0.6949682481384059,660,0.005266545357252979,0.13530000000000708
0.5,gaussian,0.953325,0.0033250000000000224,0.00047168021145157244,0.00774596565562923,720,0.08921911230224222,2.394000000000016
0.5,cornish_fisher,0.9531,0.0030999999999999917,0.00047275992850494454,0.00774596565562923,720,0.08318172876299196,2.231999999999994
0.5,calibrated,0.94882,0.0011799999999999589,0.0004927504824959586,0.00774596565562923,720,0.03166272256139592,0.8495999999999704
0.9,gaussian,0.90583,0.04416999999999993,0.0006530773732874228,0.7039447987582428,720,1.1852054707939867,31.80239999999995
0.9,cornish_fisher,0.867495,0.08250499999999994,0.0007581141898652207,0.7039447987582428,720,2.2138414618034403,59.403599999999955
0.9,calibrated,0.95149,0.0014899999999999913,0.00048039972887169727,0.7039447987582428,720,0.03998089543769601,1.0727999999999938
0.5,gaussian,0.9526,0.0026000000000000467,0.00047514860833217223,0.0011227258683153152,780,0.0726140482275998,2.0280000000000364
0.5,cornish_fisher,0.952725,0.0027250000000000885,0.0004745528125245912,0.0011227258683153152,780,0.0761051082385432,2.125500000000069
0.5,calibrated,0.9515,0.0015000000000000568,0.0004803527349771207,0.0011227258683153152,780,0.04189272013130841,1.1700000000000443
0.9,gaussian,0.90975,0.04025000000000001,0.0006407220048507779,0.6789518978954077,780,1.1241213235234,31.395000000000007
0.9,cornish_fisher,0.87376,0.07623999999999997,0.0007426421156923435,0.6789518978954077,780,2.1292673218738876,59.46719999999998
0.9,calibrated,0.94919,0.0008099999999999774,0.0004910618285918791,0.6789518978954077,780,0.02262206887090505,0.6317999999999824
0.5,gaussian,0.950985,0.0009850000000000136,0.0004827656252002623,0.00737601583816821,840,0.028548012189993588,0.8274000000000115
0.5,cornish_fisher,0.950765,0.0007650000000000157,0.00048379187041020037,0.00737601583816821,840,0.022171806421670295,0.6426000000000132
0.5,calibrated,0.9496,0.00039999999999995595,0.0004891821746548007,0.00737601583816821,840,0.011593101396950274,0.335999999999963
0.9,gaussian,0.910845,0.03915499999999994,0.000637206347955668,0.6602121503511762,840,1.1348197129940931,32.89019999999995
0.9,cornish_fisher,0.87684,0.07316,0.0007348183938906266,0.6602121503511762,840,2.1203782455024385,61.4544
0.9,calibrated,0.94812,0.0018799999999999928,0.0004959257283101979,0.6602121503511762,840,0.05448757656567208,1.579199999999994
0.5,gaussian,0.95341,0.003410000000000024,0.0004712715347864754,0.008872432966027995,900,0.10230000000000072,3.0690000000000217
0.5,cornish_fisher,0.95279,0.00279000000000007,0.00047424263779209045,0.008872432966027995,900,0.0837000000000021,2.511000000000063
0.5,calibrated,0.95165,0.0016500000000000403,0.00047964714895431203,0.008872432966027995,900,0.04950000000000121,1.4850000000000363
0.9,gaussian,0.911445,0.038555000000000006,0.0006352677072502586,0.6889597048768873,900,1.1566500000000002,34.69950000000001
0.9,cornish_fisher,0.87663,0.07336999999999994,0.0007353565227153424,0.6889597048768873,900,2.201099999999998,66.03299999999994
0.9,calibrated,0.95023,0.0002300000000000635,0.00048627639825514864,0.6889597048768873,900,0.006900000000001905,0.20700000000005714
0.5,gaussian,0.95273,0.00273000000000001,0.0004745289617083452,0.0010467925718371444,930,0.08325381072359422,2.5389000000000097
0.5,cornish_fisher,0.952525,0.0025249999999999995,0.00047550564862575525,0.0010467925718371444,930,0.07700215094398336,2.3482499999999993
0.5,calibrated,0.9493,0.0006999999999999229,0.0004905584063085658,0.0010467925718371444,930,0.021347130954765318,0.6509999999999283
0.9,gaussian,0.911885,0.03811500000000001,0.0006338404640562168,0.6713888135553415,930,1.1623512804871,35.44695000000001
0.9,cornish_fisher,0.87607,0.07392999999999994,0.0007367881483167329,0.6713888135553415,930,2.2545619878371035,68.75489999999995
0.9,calibrated,0.95333,0.003330000000000055,0.0004716561835701934,0.6713888135553415,930,0.10155135154196787,3.0969000000000513
0.5,gaussian,0.952995,0.002995000000000081,0.0004732627704299165,0.005615130704052935,960,0.09279668097513222,2.8752000000000777
