p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.5,gaussian,0.9573125,0.007312500000000055,0.0015981488772903402,-0.005127544893186181,120,0.08010442403513114,0.8775000000000066
0.5,cornish_fisher,0.9575625,0.0075625000000000275,0.0015936702645495324,-0.005127544893186181,120,0.08284303682265667,0.9075000000000033
0.5,calibrated,0.952,0.0020000000000000018,0.0016899704139422093,-0.005127544893186181,120,0.021908902300206663,0.2400000000000002
0.8,gaussian,0.916,0.03399999999999992,0.0021929432277193127,0.40969835125372234,120,0.3724513391035121,4.07999999999999
0.8,cornish_fisher,0.8940625,0.05593749999999997,0.0024330375317408023,0.40969835125372234,120,0.6127646112089044,6.712499999999997
0.8,calibrated,0.95175,0.0017500000000000293,0.0016941431739230309,0.40969835125372234,120,0.019170289512681134,0.21000000000000352
0.9,gaussian,0.8540625,0.09593750000000001,0.002791054304534288,0.6856788524257735,120,1.0509426572130376,11.512500000000001
0.9,cornish_fisher,0.8115,0.13849999999999996,0.003092003294791259,0.6856788524257735,120,1.5171914842893097,16.619999999999994
0.9,calibrated,0.951625,0.0016250000000000986,0.001696224840915112,0.6856788524257735,120,0.017800983118918978,0.19500000000001183
0.5,gaussian,0.9598125,0.009812500000000002,0.0015526683653421865,0.0036731722015476602,150,0.12017809050529969,1.4718750000000003
0.5,cornish_fisher,0.9595625,0.00956250000000003,0.0015572874773494378,0.0036731722015476602,150,0.11711622832682106,1.4343750000000044
0.5,calibrated,0.953375,0.003375000000000017,0.0016667916294298762,0.0036731722015476602,150,0.041335139409466336,0.5062500000000025
0.8,gaussian,0.9230625,0.026937499999999948,0.002106806248414736,0.4847600687280397,150,0.32991564973110865,4.040624999999992
0.8,cornish_fisher,0.8986875,0.05131249999999998,0.0023854805247547875,0.4847600687280397,150,0.628447212132809,7.696874999999998
0.8,calibrated,0.9515,0.0015000000000000568,0.0016983033813191327,0.4847600687280397,150,0.018371173070874533,0.22500000000000853
0.9,gaussian,0.869875,0.080125,0.0026597989159779546,0.7799251729671812,150,0.9813268282025107,12.01875
