run_id,config,base_seed,outputs_path,plots_path,logs_path,notes
run_cra_symflip_example_seed20260227_hashab5fc012,configs/cra_symflip_example.toml,20260227,outputs/cra_symflip/run_cra_symflip_example_seed20260227_hashab5fc012,plots/cra_symflip/run_cra_symflip_example_seed20260227_hashab5fc012,logs/run_cra_symflip_example_seed20260227_hashab5fc012,completed
run_cra_symflip_prod_seed20260227_hashf52d7ff8,configs/cra_symflip_prod.toml,20260227,outputs/cra_symflip/run_cra_symflip_prod_seed20260227_hashf52d7ff8,plots/cra_symflip/run_cra_symflip_prod_seed20260227_hashf52d7ff8,logs/run_cra_symflip_prod_seed20260227_hashf52d7ff8,completed
run_cra_symflip_prod_f05_seed20260227_hash34bdd38e,configs/cra_symflip_prod_f05.toml,20260227,outputs/cra_symflip/run_cra_symflip_prod_f05_seed20260227_hash34bdd38e,plots/cra_symflip/run_cra_symflip_prod_f05_seed20260227_hash34bdd38e,logs/run_cra_symflip_prod_f05_seed20260227_hash34bdd38e,completed
