method,p,scale,k,slope,slope_se
calibrated,0.9,sqrt,4,5.429471825134442,7.73252754928926
cornish_fisher,0.9,sqrt,4,0.18356589729216455,0.06475379735526958
gaussian,0.9,sqrt,4,-0.11448589162381771,0.10528420728339542
calibrated,0.9,linear,4,5.9294718251344385,7.732527549289259
cornish_fisher,0.9,linear,4,0.6835658972921649,0.06475379735526958
gaussian,0.9,linear,4,0.3855141083761813,0.10528420728339544
