p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.5,gaussian,0.9607333333333333,0.010733333333333372,0.0007092230072932449,0.005362726027550353,120,0.1175777756777761,1.2880000000000047
0.5,cornish_fisher,0.9605866666666667,0.010586666666666744,0.0007104920594338251,0.005362726027550353,120,0.11597112284242803,1.2704000000000093
0.5,calibrated,0.95184,0.0018400000000000638,0.0007817980506499103,0.005362726027550353,120,0.02015619011619081,0.22080000000000766
0.9,gaussian,0.85524,0.09475999999999996,0.0012848063013544105,0.5663649997883974,120,1.0380437909837903,11.371199999999995
0.9,cornish_fisher,0.8181466666666667,0.13185333333333327,0.0014084634582356708,0.5663649997883974,120,1.4443808989782894,15.822399999999991
0.9,calibrated,0.9508266666666667,0.0008266666666667533,0.0007895595111387292,0.5663649997883974,120,0.009055679617419696,0.09920000000001039
0.5,gaussian,0.95576,0.005760000000000098,0.0007508468321391072,-0.008216007226475478,150,0.07054530459215673,0.8640000000000148
0.5,cornish_fisher,0.9554133333333333,0.005413333333333381,0.0007536462107401343,-0.008216007226475478,150,0.06629952237133194,0.8120000000000072
0.5,calibrated,0.95176,0.0017600000000000948,0.0007824142329993744,-0.008216007226475478,150,0.021555509736493127,0.2640000000000142
0.9,gaussian,0.85992,0.09007999999999994,0.0012673204993213043,0.7717058046102249,150,1.1032501801495427,13.51199999999999
0.9,cornish_fisher,0.81224,0.13776,0.0014259788796939924,0.7717058046102249,150,1.6872085348290529,20.663999999999998
0.9,calibrated,0.9479066666666667,0.0020933333333332804,0.0008114153720962365,0.7717058046102249,150,0.02563799264112995,0.31399999999999206
0.5,gaussian,0.9550933333333333,0.005093333333333394,0.0007562191741865629,-0.012444377591517437,180,0.06833423739239439,0.9168000000000109
0.5,cornish_fisher,0.95476,0.0047600000000000975,0.0007588881551322299,-0.012444377591517437,180,0.0638621014373953,0.8568000000000175
0.5,calibrated,0.9519466666666667,0.0019466666666667631,0.0007809755479645428,-0.012444377591517437,180,0.02611727397719884,0.35040000000001736
0.9,gaussian,0.8706,0.07939999999999992,0.0012255917754293228,0.6363504293185087,180,1.0652627844808986,14.291999999999984
0.9,cornish_fisher,0.82832,0.12168000000000001,0.0013769820991332217,0.6363504293185087,180,1.6325085090130467,21.9024
0.9,calibrated,0.948,0.0020000000000000018,0.0008107280678501272,0.6363504293185087,180,0.026832815729997503,0.3600000000000003
0.5,gaussian,0.9557466666666666,0.005746666666666678,0.0007509547329652855,-0.021584308254374084,210,0.08327711170143547,1.2068000000000023
0.5,cornish_fisher,0.9555733333333334,0.00557333333333343,0.0007523557487922453,-0.021584308254374084,210,0.08076527306543053,1.1704000000000203
0.5,calibrated,0.9497733333333334,0.0002266666666665973,0.0007975290893104125,-0.021584308254374084,210,0.0032847120624686006,0.04759999999998543
0.9,gaussian,0.8691333333333333,0.08086666666666664,0.0012314792309642483,0.6944963698709408,210,1.1718693328751855,16.981999999999996
0.9,cornish_fisher,0.82552,0.12447999999999992,0.001385817350158382,0.6944963698709408,210,1.80388657736566,26.140799999999984
0.9,calibrated,0.9484533333333334,0.0015466666666665851,0.0008073793641341282,0.6944963698709408,210,0.02241332936743848,0.3247999999999829
0.5,gaussian,0.95316,0.0031600000000000517,0.0007715440311479313,0.003278268779806002,240,0.04895450949606255,0.7584000000000124
0.5,cornish_fisher,0.9530133333333334,0.0030133333333334233,0.0007726915712600311,0.003278268779806002,240,0.04668235926628813,0.7232000000000216
0.5,calibrated,0.9488533333333333,0.0011466666666666292,0.0008044102200209009,0.003278268779806002,240,0.017764083614604107,0.275199999999991
0.9,gaussian,0.8712533333333333,0.07874666666666663,0.0012229525065124915,0.7162254654103803,240,1.2199381142773864,18.899199999999993
0.9,cornish_fisher,0.8255466666666667,0.1244533333333333,0.0013857338264001604,0.7162254654103803,240,1.928022749520001,29.868799999999993
0.9,calibrated,0.9469333333333333,0.003066666666666662,0.0008185401277522936,0.7162254654103803,240,0.047508595713477576,0.7359999999999989
0.5,gaussian,0.9562133333333334,0.006213333333333404,0.0007471670450342312,-0.0008133898707118921,270,0.10209548471896412,1.677600000000019
0.5,cornish_fisher,0.95612,0.006120000000000014,0.0007479264277543171,-0.0008133898707118921,270,0.10056186155794873,1.6524000000000039
0.5,calibrated,0.9501466666666667,0.00014666666666673933,0.0007947157016937052,-0.0008133898707118921,270,0.0024099792530239248,0.03960000000001962
0.9,gaussian,0.8790266666666666,0.07097333333333333,0.0011907352683982312,0.6955955146732518,270,1.1662108694399995,19.1628
0.9,cornish_fisher,0.8358266666666667,0.11417333333333324,0.0013526292911982228,0.6955955146732518,270,1.8760593039666933,30.826799999999974
0.9,calibrated,0.9517466666666666,0.0017466666666666741,0.0007825168722828971,0.6955955146732518,270,0.028700662013270827,0.471600000000002
0.5,gaussian,0.9573733333333333,0.007373333333333343,0.0007376506305431733,-0.009327589317346877,300,0.12770987954474539,2.212000000000003
0.5,cornish_fisher,0.9572,0.007200000000000095,0.0007390819530561769,-0.009327589317346877,300,0.12470765814496082,2.1600000000000286
0.5,calibrated,0.9511066666666667,0.0011066666666667002,0.0007874242845200115,-0.009327589317346877,300,0.019168028937096158,0.33200000000001006
0.9,gaussian,0.88224,0.06775999999999993,0.001176959825992374,0.7843709931014504,300,1.1736376272086702,20.327999999999978
0.9,cornish_fisher,0.83788,0.11212,0.0013457939693727271,0.7843709931014504,300,1.9419753654462253,33.635999999999996
0.9,calibrated,0.9510533333333333,0.0010533333333333506,0.0007878315428134699,0.7843709931014504,300,0.018244268506392474,0.31600000000000517
