p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.5,gaussian,0.9580625,0.008062500000000083,0.0015846676720559971,-0.049260354112674196,120,0.08832026239770895,0.96750000000001
0.5,cornish_fisher,0.957875,0.007875000000000076,0.0015880507779783045,-0.049260354112674196,120,0.0862663028070645,0.9450000000000092
0.5,calibrated,0.94575,0.004249999999999976,0.0017907215288117807,-0.049260354112674196,120,0.04655641738793886,0.5099999999999971
0.8,gaussian,0.92025,0.029749999999999943,0.0021416981798913683,0.3412053073632661,120,0.3258949217155732,3.569999999999993
0.8,cornish_fisher,0.8974375,0.052562499999999956,0.0023984817280124056,0.3412053073632661,120,0.5757933385773054,6.307499999999995
0.8,calibrated,0.9489375,0.0010624999999999662,0.0017402428187926464,0.3412053073632661,120,0.01163910434698441,0.12749999999999595
0.9,gaussian,0.8416875,0.10831249999999992,0.0028858453304853975,0.6927848718099707,120,1.1865039901955652,12.997499999999992
0.9,cornish_fisher,0.7976875,0.15231249999999996,0.0031759068817401393,0.6927848718099707,120,1.668499840800112,18.277499999999996
0.9,calibrated,0.9470625,0.0029374999999999263,0.001770153967416217,0.6927848718099707,120,0.0321787002534277,0.35249999999999115
0.5,gaussian,0.95925,0.009250000000000091,0.0015630386571515106,-0.05341848081650621,150,0.11328890060372311,1.3875000000000137
0.5,cornish_fisher,0.9598125,0.009812500000000002,0.0015526683653421865,-0.05341848081650621,150,0.12017809050529969,1.4718750000000003
0.5,calibrated,0.9488125,0.001187500000000008,0.0017422567951465644,-0.05341848081650621,150,0.014543845347775218,0.1781250000000012
0.8,gaussian,0.9201875,0.02981249999999991,0.002142464481090497,0.43180827359299706,150,0.36512706478361634,4.4718749999999865
0.8,cornish_fisher,0.8986875,0.05131249999999998,0.0023854805247547875,0.43180827359299706,150,0.628447212132809,7.696874999999998
0.8,calibrated,0.9519375,0.0019375000000000364,0.0016910147858192651,0.43180827359299706,150,0.023729431883212485,0.29062500000000546
