module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cra_sampling,CRA,continuous,gaussian,200,200,0.2,50,400,,0.9232,0.001882840407469523,2.326190224772697,-0.4235883998788733,-0.1267907829674242,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.2,50,400,,0.9038,0.0020850127097933953,2.326190224772697,-0.4235883998788733,-0.1267907829674242,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.2,50,400,,0.94865,0.0015606597563210247,2.4124741520529502,-0.4235883998788733,-0.1267907829674242,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.35,50,400,,0.94555,0.0016044500225934118,1.988304238299567,-0.22612606631086918,-0.2637501629155164,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.35,50,400,,0.93955,0.0016851676103580913,1.988304238299567,-0.22612606631086918,-0.2637501629155164,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.35,50,400,,0.94915,0.0015534522441967753,1.9779781073018305,-0.22612606631086918,-0.2637501629155164,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.5,50,400,,0.9576,0.0014248199886301427,1.9044072078923187,0.00822254332873761,-0.36762683402491975,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.5,50,400,,0.9574,0.0014280273106632095,1.9044072078923187,0.00822254332873761,-0.36762683402491975,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.5,50,400,,0.9524,0.0015055603607959393,1.8332435532917304,0.00822254332873761,-0.36762683402491975,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.65,50,400,,0.94475,0.0016155097879616827,1.695443649777337,0.2328752847933917,-0.13856079783379327,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.65,50,400,,0.93765,0.0017097145595098618,1.695443649777337,0.2328752847933917,-0.13856079783379327,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.65,50,400,,0.94835,0.001564964496402394,1.7229791100994367,0.2328752847933917,-0.13856079783379327,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.8,50,400,,0.9257,0.0018544474918422472,2.185332389796374,0.4576290798420714,-0.02420914285529816,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.8,50,400,,0.9047,0.002076269611587089,2.185332389796374,0.4576290798420714,-0.02420914285529816,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.8,50,400,,0.9537,0.0014858719662205085,2.3183101639160864,0.4576290798420714,-0.02420914285529816,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.86,50,400,,0.8925,0.0021902482735982245,2.564232951966009,0.6602975832613788,0.29959670083359735,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.86,50,400,,0.85505,0.002489372385763127,2.564232951966009,0.6602975832613788,0.29959670083359735,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.86,50,400,,0.9511,0.0015249391791150237,2.9478357109881963,0.6602975832613788,0.29959670083359735,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.9,50,400,,0.8694,0.002382683780949541,2.754610088006605,0.7002592024461375,0.29368474377007664,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.9,50,400,,0.82635,0.0026785787042758326,2.754610088006605,0.7002592024461375,0.29368474377007664,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.9,50,400,,0.95085,0.0015286313731570477,3.3412297694780477,0.7002592024461375,0.29368474377007664,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.93,50,400,,0.83185,0.002644575367615754,3.1773164584503752,0.8048523108418837,0.37550672659594164,,,,
