p,method,coverage,coverage_error,mcse,gamma_mean
0.73,calibrated,0.9479333333333333,0.002066666666666661,0.0012826499767913942,0.3236036642690978
0.755,gaussian,0.9353333333333333,0.014666666666666606,0.0014199165338015338,0.40816126961133026
0.755,cornish_fisher,0.9179,0.032099999999999906,0.0015849247090424618,0.40816126961133026
0.755,calibrated,0.9536666666666667,0.003666666666666707,0.001213624812363848,0.40816126961133026
0.78,gaussian,0.9267333333333333,0.023266666666666658,0.001504423059096324,0.3946484404515712
0.78,cornish_fisher,0.9089666666666667,0.041033333333333255,0.0016607856128506926,0.3946484404515712
0.78,calibrated,0.9524666666666667,0.002466666666666728,0.0012284667348033962,0.3946484404515712
0.805,gaussian,0.9191666666666667,0.030833333333333268,0.0015737355300426176,0.4639298938501135
0.805,cornish_fisher,0.8974333333333333,0.05256666666666665,0.0017516349082648051,0.4639298938501135
0.805,calibrated,0.9461333333333334,0.003866666666666574,0.0013033936331603593,0.4639298938501135
0.83,gaussian,0.9209333333333334,0.029066666666666574,0.0015579380484996705,0.43550698833357443
0.83,cornish_fisher,0.8935333333333333,0.056466666666666665,0.0017807443720305616,0.43550698833357443
0.83,calibrated,0.9519,0.0019000000000000128,0.0012353999352436446,0.43550698833357443
0.85,gaussian,0.8997,0.0502999999999999,0.0017343578062210803,0.5974566938411771
0.85,cornish_fisher,0.8661666666666666,0.08383333333333332,0.0019657227018938205,0.5974566938411771
0.85,calibrated,0.9502666666666667,0.0002666666666667483,0.0012551218916754508,0.5974566938411771
0.875,gaussian,0.8800333333333333,0.06996666666666662,0.0018759412353585383,0.6128566360345463
0.875,cornish_fisher,0.8438333333333333,0.10616666666666663,0.002095858128857079,0.6128566360345463
0.875,calibrated,0.9517,0.0017000000000000348,0.0012378356110566541,0.6128566360345463
0.9,gaussian,0.8679666666666667,0.08203333333333329,0.0019544865670402395,0.7686009014350205
0.9,cornish_fisher,0.8216666666666667,0.1283333333333333,0.0022100569793224454,0.7686009014350205
0.9,calibrated,0.9486333333333333,0.0013666666666666272,0.00127446893805776,0.7686009014350205
