design,k,Ns,slope,slope_low,slope_high
parity_holds,5,"3200,3600,4000,4400,4800",3.202482283728542,-3.2026520310516187,0.9891842231003144
parity_fails,5,"3200,3600,4000,4400,4800",-4.576464779715816,-4.799449579081657,-2.772074004036126
